Transp. Rodillo SD100D 10 Tons o similar Sto Dgo,UND,"RD$12,000.00","RD$12,000.00",,Excon S.A. Excavaciones y Mov Tierra
Transporte Greadar CAT12H o similar Sto Dgo,UND,"RD$12,000.00","RD$12,000.00",,Excon S.A. Excavaciones y Mov Tierra
Transporte Bulldozer CATD6N o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
Transporte Bulldozer CATD8R o similar Sto Dgo,UND,"RD$15,000.00","RD$15,000.00",,Excon S.A. Excavaciones y Mov Tierra
,,,,,
EQUIPOS MANUALES,,,,,
Ligadora de hormigón de 2 fundas 2.0Hp - Alquiler,DIA,"RD$2,500.00","RD$2,118.64",,MINIBANNER CON LINK
Winche elevador hasta 12m - Alquiler,DIA,"RD$7,500.00","RD$6,355.93",,MINIBANNER CON LINK
,,,,,
ASFALTO - TODO COSTO,,,,,
Riego de imprimación 0.30Gal/M2 con gravilla,M2,RD$138.00,RD$116.95,,Excon S.A. Excavaciones y Mov Tierra
Riego de adherencia,M2,RD$18.50,RD$15.68,,Excon S.A. Excavaciones y Mov Tierra
Colocación Carpeta Asfática en Caliente - Todo Costo,M3E,RD$950.00,RD$805.08,,Excon S.A. Excavaciones y Mov Tierra
Transporte equipos asfaltado - Sto. Dgo,UND,"RD$60,000.00","RD$60,000.00",,Excon S.A. Excavaciones y Mov Tierra
,,,,,
ASFALTO - SUMINISTRO,,,,,
Hormigón Asfáltico en Caliente en planta,M3E,"RD$8,950.00","RD$7,584.75",,MINIBANNER CON LINK
,,,,,
TRANSPORTE MATERIALES / ALQUILER CAMIONES,,,,,
Transporte materiales Daihatsu cama corta Sto Dgo,UND,"RD$3,500.00","RD$3,500.00",,MINIBANNER CON LINK
Transporte materiales Daihatsu cama larga Sto Dgo,UND,"RD$4,000.00","RD$4,000.00",,MINIBANNER CON LINK
Transporte materiales Daihatsu volteo Sto Dgo,UND,"RD$4,500.00","RD$4,500.00",,MINIBANNER CON LINK
Alquiler Daihatsu cama corta sin combustible,DIA,"RD$7,000.00","RD$5,932.20",,MINIBANNER CON LINK
Alquiler Daihatsu cama larga sin combustible,DIA,"RD$8,000.00","RD$6,779.66",,MINIBANNER CON LINK
Alquiler Daihatsu volteo sin combustible,DIA,"RD$8,000.00","RD$6,779.66",,MINIBANNER CON LINK
,,,,,
HERRAMIENTAS,,,,,
Carretilla Criolla Reforzada 5P3,UND,"RD$4,720.00","RD$4,000.00",,MINIBANNER CON LINK
Pala cuadrada Tramontina,UND,RD$498.00,RD$422.03,,MINIBANNER CON LINK
Pala Redonda Tramontina,UND,RD$522.00,RD$442.37,,MINIBANNER CON LINK
Pala de corte con mango Tramontina,UND,RD$505.00,RD$427.97,,MINIBANNER CON LINK
Pico - Zapapico Truper,UND,RD$875.00,RD$741.53,,MINIBANNER CON LINK
Pico Doble,UND,RD$546.00,RD$462.71,,MINIBANNER CON LINK
Mango para Pico-Zapapico,UND,RD$398.00,RD$337.29,,MINIBANNER CON LINK
Cubo de goma de albañil,UND,RD$250.00,RD$211.86,,MINIBANNER CON LINK
Cinta Métrica Stanley 8 metros,UND,"RD$1,562.00","RD$1,323.73",,MINIBANNER CON LINK
Lona plástica 6 x 8 pies,UND,RD$125.00,RD$105.93,,MINIBANNER CON LINK
Lona plástica 10 x 12 pies,UND,RD$270.40,RD$229.15,,MINIBANNER CON LINK
Lona plástica 16x20  pies,UND,RD$431.00,RD$365.25,,MINIBANNER CON LINK
Lona plástica 18x20  pies,UND,RD$581.00,RD$492.37,,MINIBANNER CON LINK
Lona plástica 20 x 24 pies,UND,RD$745.00,RD$631.36,,MINIBANNER CON LINK
Tanques plástico 55 gals. para agua,UND,"RD$1,300.00","RD$1,101.69",,MINIBANNER CON LINK
Hoja de segueta,UND,RD$76.00,RD$64.41,,MINIBANNER CON LINK
,,,,,
IMPERMEABILIZANTES TECHO - TODO COSTO,,,,,
Tela asfáltica 3mm ,M2,RD$474.30,RD$401.95,,MINIBANNER CON LINK
Tela asfáltica 5mm ,M2,RD$663.00,RD$561.86,,MINIBANNER CON LINK
Tela Poliester 3mm ,M2,RD$382.50,RD$324.15,,MINIBANNER CON LINK
,,,,,
ANDAMIOS METALICOS - ALQUILER (1 MES),,,,,
Marcos 5 pies de alto x 5 pies de ancho,MES,RD$155.00,RD$131.36,,MINIBANNER CON LINK
Marcos 6.5 pies de alto x 3.5 pies de ancho ,MES,RD$190.00,RD$161.02,,MINIBANNER CON LINK
Crucetas de 2.00m,MES,RD$75.00,RD$63.56,,MINIBANNER CON LINK
Acoples y springs,MES,RD$25.00,RD$21.19,,MINIBANNER CON LINK
Plataformas de 2.00m,MES,RD$182.85,RD$154.96,,MINIBANNER CON LINK
Bases niveladoras,MES,RD$75.00,RD$63.56,,MINIBANNER CON LINK
Juego de ruedas con frenos,MES,RD$130.00,RD$110.17,,MINIBANNER CON LINK
,,,,,
ANDAMIOS METALICOS - COMPRA,,,,,
Marcos 5 pies de alto x 5 pies de ancho,UND,"RD$3,470.00","RD$2,940.68",,MINIBANNER CON LINK
Marcos 6 pies de alto x 3 pies de ancho ,UND,"RD$3,610.00","RD$3,059.32",,MINIBANNER CON LINK
Crucetas de 1.80m,UND,"RD$1,150.00",RD$974.58,,MINIBANNER CON LINK
Acoples y springs,UND,RD$343.00,RD$290.68,,MINIBANNER CON LINK
Plataformas de 1.80m,UND,"RD$3,350.00","RD$2,838.98",,MINIBANNER CON LINK
Bases niveladoras,UND,"RD$1,475.00","RD$1,250.00",,MINIBANNER CON LINK
Juego de ruedas con frenos,UND,"RD$1,810.75","RD$1,534.53",,MINIBANNER CON LINK
,,,,,
MATERIALES DE SEGURIDAD LABORAL,,,,,
Casco de seguridad North ANSI con suspensión de pasador,UND,RD$370.00,RD$313.56,,MINIBANNER CON LINK
Casco de seguridad North ANSI con suspensión trinquete,UND,"RD$1,134.99",RD$961.86,,MINIBANNER CON LINK
Guante de seguridad latex sobre algodón - todo trabajo,UND,RD$121.94,RD$103.34,,MINIBANNER CON LINK
Guante en nylon para trabajos con aceite,UND,RD$172.89,RD$146.52,,MINIBANNER CON LINK
Chaleco reflectivo color naranja,UND,RD$342.20,RD$290.00,,MINIBANNER CON LINK
"Cono tráfico naranja 18"" con collar reflectivo",UND,RD$763.17,RD$646.75,,MINIBANNER CON LINK
"Cono tráfico naranja 28"" con collar reflectivo",UND,"RD$1,628.38","RD$1,379.98",,MINIBANNER CON LINK
"Cinta de barricada amarilla - 3"" x 1000 pies (CUIDADO)",UND,RD$617.38,RD$523.20,,MINIBANNER CON LINK
Protector auditivo reusable,UND,RD$71.41,RD$60.52,,MINIBANNER CON LINK
Malla de seguridad color naranja (4 pies x 100 pies),UND,"RD$2,100.40","RD$1,780.00",,MINIBANNER CON LINK
